Item, Count, Price, Total Price, Link
Plywood 4x6ft 9mm, 1, 1190, 1190,
"Glue, Fasteners, Nails", , , 418,
Waterproof Plywood Coating , 1, 350, 350,
2x4ft 5mm Foam Board , 7, 250, 1750,
2x4ft 3mm Foam Board , 1, 180, 180,
Flex Kwik , 6, 55, 330,
Limit Switch , 22, 12, 264,
12V DC Fan, 8, 65, 520,
Peltier Module, 2, 271, 542,
Peltier Cooling System, 2, 400, 800,
Humidifier, 1, 300, 300,
Ultrasonic Sensors, 2, 59, 118,
Grow Light 5V Strip, 1, 1263, 1263,
CO2 Sensor, 1, 2708, 2708,
400W Power Supply, 1, 1505, 1505,
Buck Converters, 4, 58, 116,
Stepper Motor, 2, 102, 204,
Stepper Motor Driver, 2, 94, 188,
Timing Belt, 2, 92, 184,
Timing Belt Pully, 2, 125, 250,
Rail Roller, 8, 100, 800,
PETG Filament, 1, 999, 999,
Perf Board, 1, 80, 80,
Analog Mux, 1, 100, 100,
Wiring, , , 500,
Driving Circuits, , , 500,
Miscellaneous, , , 1500,
