Week               , Date                            , Hours can be Spent, Things to Get Done
Week 08            , 26-11-25 (WEDNESDAY)            ,                   ,
                   , 27-11-25 (THURSDAY)             ,                   ,
                   , 28-11-25 (FRIDAY)               ,                   ,
                   , 29-11-25 (SATURDAY)             ,                   ,
Week 08's Objective,                                 ,                   ,
Week 09            , 30-11-25 (SUNDAY)               ,                   ,
                   , 01-12-25 (MONDAY)               ,                   ,
                   , 02-12-25 (TUESDAY)              ,                   ,
                   , 03-12-25 (WEDNESDAY)            ,                   ,
                   , 04-12-25 (THURSDAY)             ,                   ,
                   , 05-12-25 (FRIDAY)               ,                   ,
                   , 06-12-25 (SATURDAY)             ,                   ,
Week 09's Objective,                                 ,                   ,
Week 10            , 07-12-25 (SUNDAY)               ,                   ,
                   , 08-12-25 (MONDAY)               ,                   ,
                   , 09-12-25 (TUESDAY)              ,                   ,
                   , 10-12-25 (WEDNESDAY)            ,                   ,
                   , 11-12-25 (THURSDAY)             ,                   ,
                   , 12-12-25 (FRIDAY)               ,                   ,
                   , 13-12-25 (SATURDAY)             ,                   ,
Week 10's Objective,                                 ,                   ,
Week 11            , 14-12-25 (SUNDAY)               ,                   ,
                   , 15-12-25 (MONDAY)               ,                   ,
                   , 16-12-25 (TUESDAY)              ,                   ,
                   , 17-12-25 (WEDNESDAY)            ,                   ,
                   , 18-12-25 (THURSDAY)             ,                   ,
                   , 19-12-25 (FRIDAY)               ,                   ,
                   , 20-12-25 (SATURDAY)             ,                   ,
Week 11's Objective,                                 ,                   ,
Week 12            , 21-12-25 (SUNDAY)               ,                   ,
                   , 22-12-25 (MONDAY)               ,                   ,
                   , 23-12-25 (TUESDAY)              ,                   ,
                   , 24-12-25 (WEDNESDAY)            ,                   ,
                   , 25-12-25 (THURSDAY)             ,                   ,
                   , 26-12-25 (FRIDAY)               ,                   ,
                   , 27-12-25 (SATURDAY)             ,                   ,
Week 12's Objective,                                 ,                   ,
Week 13            , 28-12-25 (SUNDAY)               ,                   ,
                   , 29-12-25 (MONDAY)               ,                   ,
                   , 30-12-25 (TUESDAY)              ,                   ,
                   , 31-12-25 (WEDNESDAY)            ,                   ,
Week 13's Objective,                                 ,                   ,
